ID;BUILDING TYPE;DEM (m);DSM (s);BUILDING HEIGHT (m);FOOTPRINT AREA (m2);FLOOR AREA (m2);;Floor height (m);3.6;m
64937.00;yes;4.01;11.89;7.87;192.67;421.38;;;;
64938.00;yes;1.83;10.25;8.43;215.50;504.44;;;;
64939.00;yes;2.72;11.58;8.85;227.68;559.94;;;;
64940.00;yes;3.91;11.41;7.50;318.30;663.01;;;;
64941.00;yes;2.59;10.43;7.84;339.74;739.98;;;;
64942.00;yes;3.83;7.75;3.92;286.26;311.99;;;;
64943.00;yes;2.57;10.81;8.24;310.98;712.10;;;;
64944.00;yes;2.52;10.93;8.41;385.63;900.57;;;;
64945.00;yes;1.97;8.12;6.15;366.97;626.70;;;;
64946.00;yes;3.70;16.56;12.87;385.88;1379.49;;;;
64947.00;yes;4.84;13.00;8.16;219.03;496.44;;;;
64948.00;yes;2.53;9.65;7.12;324.86;642.66;;;;
64949.00;yes;2.12;6.48;4.36;341.57;413.89;;;;
64950.00;yes;3.07;10.02;6.95;259.21;500.57;;;;
64951.00;yes;2.54;9.54;7.00;247.61;481.36;;;;
64952.00;house;2.68;10.16;7.48;122.91;255.43;;;;
64953.00;yes;2.57;10.93;8.36;322.92;749.72;;;;
64954.00;yes;3.82;13.98;10.15;883.04;2490.77;;;;
64955.00;yes;4.13;11.06;6.93;218.58;420.62;;;;
64956.00;yes;5.37;10.81;5.44;963.87;1457.10;;;;
64957.00;yes;4.05;10.97;6.92;361.31;694.58;;;;
64958.00;yes;2.80;10.18;7.38;270.96;555.28;;;;
64959.00;yes;3.67;11.65;7.98;218.68;484.93;;;;
64960.00;yes;3.62;11.56;7.94;187.87;414.44;;;;
64961.00;yes;3.77;12.93;9.17;604.29;1538.93;;;;
64962.00;house;2.47;9.00;6.53;413.43;749.95;;;;
64963.00;yes;2.63;9.52;6.89;218.41;418.13;;;;
64964.00;yes;2.52;9.85;7.33;156.19;317.92;;;;
64965.00;house;2.53;8.50;5.97;286.24;474.80;;;;
64966.00;yes;2.46;12.00;9.54;298.26;790.01;;;;
64967.00;yes;1.94;9.99;8.04;306.98;685.98;;;;
64968.00;yes;3.50;8.81;5.31;225.60;332.92;;;;
64969.00;yes;2.40;10.71;8.32;3015.52;6967.37;;;;
64970.00;yes;2.83;10.00;7.17;137.57;274.04;;;;
64971.00;yes;1.10;8.48;7.37;292.55;599.27;;;;
64972.00;yes;3.20;10.74;7.53;693.15;1450.69;;;;
64973.00;yes;2.52;8.86;6.34;148.08;260.74;;;;
64974.00;yes;3.78;11.56;7.78;227.78;492.43;;;;
64975.00;yes;3.60;11.71;8.11;341.88;770.59;;;;
64976.00;yes;4.87;10.07;5.20;223.07;322.21;;;;
64977.00;yes;2.51;10.67;8.16;197.20;446.75;;;;
64978.00;house;3.92;11.67;7.75;237.96;512.49;;;;
64979.00;yes;2.53;11.40;8.87;377.48;930.51;;;;
64980.00;yes;3.88;10.41;6.53;254.05;461.00;;;;
64981.00;yes;4.55;12.43;7.88;272.67;596.54;;;;
64982.00;yes;3.60;13.00;9.39;328.47;857.08;;;;
64983.00;house;2.91;13.00;10.09;321.84;901.70;;;;
64984.00;yes;2.48;10.65;8.17;431.58;979.10;;;;
64985.00;yes;2.53;10.81;8.28;287.15;660.12;;;;
64986.00;yes;2.62;11.00;8.38;251.71;586.07;;;;
64987.00;yes;2.53;8.11;5.58;184.21;285.63;;;;
64988.00;yes;2.53;9.21;6.68;342.09;634.81;;;;
64989.00;yes;4.17;14.00;9.83;211.01;576.32;;;;
64990.00;house;3.79;11.74;7.95;487.22;1075.86;;;;
64991.00;yes;1.29;7.70;6.41;195.64;348.57;;;;
64992.00;yes;1.84;8.18;6.34;260.70;458.77;;;;
64993.00;yes;1.63;9.41;7.79;391.97;847.66;;;;
64994.00;house;2.52;9.00;6.47;215.84;387.97;;;;
64995.00;yes;2.32;13.33;11.01;1178.32;3602.95;;;;
64996.00;yes;2.61;11.00;8.39;239.60;558.41;;;;
64997.00;yes;4.34;11.53;7.19;196.51;392.42;;;;
64998.00;yes;2.93;9.87;6.94;331.79;639.82;;;;
64999.00;yes;2.94;11.87;8.92;149.07;369.55;;;;
65000.00;yes;2.54;10.61;8.07;151.88;340.62;;;;
65001.00;yes;2.41;10.11;7.70;332.27;710.75;;;;
65002.00;yes;0.10;9.75;9.65;927.34;2486.58;;;;
